,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl,num_of_m,name_sp_sp_cl,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,zodiac,zodiac_sp,geo_distance ,sex,divorce
845,Sharon Hugueny,1944-02-29,American,1,,Actress,"Los Angeles , California, U.S.",1930-06-29,"New York City , U.S.","Film producer, studio executive","Sharon Hugueny ( m.  1961;  div.  1962) Camilla Sparv ( m.  1964;  div.  1967) Ali MacGraw ( m.  1969;  div.  1973) Phyllis George ( m.  1977;  div.  1978) Catherine Oxenberg ( m.   1998 ; annulled  1998 ) Leslie Ann Woodward ( m.  2002;  div.  2004) Victoria, Lady White ( m.  2005;  div.  2006)",Josh Evans,13.670369685893618,75.18292641190442,88.85329609779804,,,,more than 5,,,1.0,,,,more than 5,11.0,1.0,4.0,9q5ctr1,dr5regw,2.0,6.0,20000000.0,F,
846,Josephine Hull,1877-01-03,Shelly Hull ( m.  1910; died 1919),,,Actress,"Newtonville, Massachusetts , U.S.",1884-06-17,"Louisville, Kentucky , U.S.",Actor,Josephine Sherwood  ( m.  1910),,-7.452582873022718,142.33557157231155,134.88298869928883,['Shelly Hull'],[1910],,['Josephine Sherwood'],[1910],,,,['Shelly Hull'],1.0,['Josephine Sherwood'],1.0,1.0,1.0,drt2gsu,dng18e8,0.0,5.0,5003530.0,F,0.0
847,Gayle Hunnicutt,1943-02-06,David Hemmings ( m.  1968;  div.  1975) Sir Simon Jenkins ( m.  1978;  div.  2009),"2, including   Nolan Hemmings",,Actress Writer Model,"Fort Worth, Texas , U.S.",1941-11-18,"Guildford ,  Surrey , England","Actor,  director ,  producer ,  screenwriter ,  singer-songwriter  ( operatic   boy soprano ) and  pop singer )",Genista Ouvry ( m.  1960;  div.  1967) Gayle Hunnicutt ( m.  1968;  div.  1975) Prudence de Casembroot ( m.  1976;  div.  1997) Lucy Williams  ( m.  2002),"6, including  Nolan Hemmings",1.2183686181098858,76.24523433061596,77.46360294872585,"['David Hemmings', 'Sir Simon Jenkins']","[1968, 1978]","[1975, 2009]","['Genista Ouvry', 'Gayle Hunnicutt', 'Prudence de Casembroot', 'Lucy Williams']","[1960, 1968, 1976, 2002]","[1967, 1975, 1997]",2.0,6.0,"['David Hemmings', 'Sir Simon Jenkins']",2.0,"['Genista Ouvry', 'Gayle Hunnicutt', 'Prudence de Casembroot', 'Lucy Williams']",4.0,3.0,17.0,9vff34v,gcpe7p2,1.0,10.0,20000000.0,F,1.0
848,Helen Hunt,1963-06-15,Hank Azaria ( m.  1999;  div.  2000),2,,"Actress, director, screenwriter","Culver City, California , U.S.",1964-04-25,"Queens ,  New York City , U.S.","Actor, voice actor, comedian, producer",Helen Hunt ( m.  1999;  div.  2000) Katie Wright  ( m.  2007),1,-0.8624407072013799,55.89163364066339,55.029192933462014,['Hank Azaria'],[1999],[2000],"['Helen Hunt', 'Katie Wright']","[1999, 2007]",[2000],2.0,1.0,['Hank Azaria'],1.0,"['Helen Hunt', 'Katie Wright']",2.0,3.0,5.0,9q5c9c6,dr5x8y2,5.0,4.0,20000000.0,F,1.0
849,Linda Hunt,1945-04-02,Karen Kline ( m.  2008),,,Actress,"Morristown, New Jersey , U.S. [1]",,,,,,,74.093239423123,,['Karen Kline'],[2008],,,,,,,['Karen Kline'],1.0,,,1.0,,dr7015h,,3.0,,,F,0.0
850,Holly Hunter,1958-03-20,Janusz Kamiński ( m.  1995;  div.  2001),2,Carnegie Mellon University (BFA),"Actress, producer","Conyers ,  Georgia , U.S.",1959-06-27,"Ziębice ,  Poland","Cinematographer ,  film director ,  television director",Holly Hunter ( m.  1995;  div.  2001) Rebecca Rankin ( m.  2004;  div.  2010),,-1.2703888512426675,61.12924974503241,59.85886089378974,['Janusz Kamiński'],[1995],[2001],"['Holly Hunter', 'Rebecca Rankin']","[1995, 2004]","[2001, 2010]",2.0,,['Janusz Kamiński'],1.0,"['Holly Hunter', 'Rebecca Rankin']",2.0,2.0,7.0,djur81h,u2upgep,3.0,6.0,20000000.0,F,1.0
851,Kaki Hunter,1955-11-06,,,,Actress architect writer,"Topanga Canyon ,  California , United States",,,,,,,63.49753930607747,,,,,,,,,,,,,,3.0,,9q59vnh,,10.0,,,F,
852,Kim Hunter,1922-11-12,William Baldwin (1944–46; divorced; 1 child) Robert Emmett (1951–2000; his death; 1 child),Kathryn Deirdre Baldwin (b. 1944) Sean Robert Emmett (1954) [1],,Actress,"Detroit ,  Michigan , U.S.",,,,,,,96.48110501926801,,,,[1],,,,,,,,,,1.0,,dpsby4p,,10.0,,,F,
853,Mary Beth Hurt,1946-09-26,William Hurt ( m.  1971;  div.  1982) Paul Schrader  ( m.  1982),2,University of Iowa (BA)New York University (MFA),Actress,"Marshalltown, Iowa , U.S.",1950-03-20,"Washington, D.C. ,  U.S.",Actor,Mary Beth Hurt ( m.  1971;  div.  1982) Heidi Henderson ( m.  1989;  div.  1992),4,-3.479879805882393,72.60929382533523,69.12941401945282,"['William Hurt', 'Paul Schrader']","[1971, 1982]",[1982],"['Mary Beth Hurt', 'Heidi Henderson']","[1971, 1989]","[1982, 1992]",2.0,4.0,"['William Hurt', 'Paul Schrader']",2.0,"['Mary Beth Hurt', 'Heidi Henderson']",2.0,1.0,1.0,9zmzjyf,dqcjqfz,9.0,3.0,20000000.0,F,1.0
854,Ruth Hussey,1911-10-30,Charles Robert Longenecker (1942–2002) (his death),"3, including  John Longenecker",,Actress,"Providence, Rhode Island , U.S.",,,,,,,107.5176081644387,,,,,,,,3.0,,,,,,1.0,,drmjyvy,,10.0,,,F,
855,Anjelica Huston,1951-07-08,Robert Graham ( m.  1992; died 2008),,Kylemore AbbeyHolland Park School,"Actress, director, producer, author","Santa Monica, California , U.S.",1938-08-19,"Mexico City ,  Mexico",,Joey Graham ( div. )  Anjelica Huston  ( m.  1992),,12.884590374887917,67.8289081911333,80.7134985660212,['Robert Graham'],[1992],,,,,,,['Robert Graham'],1.0,,,4.0,,9q59x9j,9g3w81t,6.0,7.0,5003530.0,F,0.0
856,Lauren Hutton,1943-11-17,Robert Williamson (1964–1997),,,"Model, actress","Charleston ,  South Carolina , U.S.",,,,,,,75.46766874063123,,,,,,,,,,,,,,2.0,,djz4mng,,10.0,,,F,
857,Martha Hyer,1924-08-10,C. Ray Stahl ( m.  1951;  div.  1954) Hal B. Wallis ( m.  1966; died 1986),,,Actress,"Fort Worth, Texas , U.S.",,,,,,,94.73705825581634,,"['C Ray Stahl', 'Hal B Wallis']","[1951, 1966]",[1954],,,,,,"['C Ray Stahl', 'Hal B Wallis']",2.0,,,1.0,,9vff34v,,7.0,,,F,1.0
858,Sarah Hyland,1990-11-24,,,Professional Performing Arts School,Actress,"New York City , U.S.",,,,,,,28.446853802610594,,,,,,,,,,,,,,1.0,,dr5regw,,11.0,,,F,
859,Joyce Hyser,1957-12-20,,,,Actress,"New York ,  New York , U.S.",,,,,,,61.37566137566137,,,,,,,,,,,,,,1.0,,dr5regw,,11.0,,,F,
860,Laura Innes,1957-08-16,David Brisbin (m. 1988),2,,"Actress, television director","Pontiac, Michigan , U.S.",,,,,,,61.720637658541925,,['David Brisbin'],[1988],,,,,2.0,,['David Brisbin'],1.0,,,3.0,,dpsf8dj,,7.0,,,F,0.0
861,Kathy Ireland,1963-03-20,Greg Olsen ( m.  1988),3 [2],,"Model, actress, entrepreneur, businesswoman, author","Glendale, California , U.S.",,,,,,,56.1298315502714,,['Greg Olsen'],[1988],,,,,,,['Greg Olsen'],1.0,,,5.0,,9q5fjp3,,3.0,,,F,0.0
862,Marin Ireland,1979-08-30,,,,Actress,"Camarillo, California , U.S.",,,,,,,39.68322415929143,,,,,,,,,,,,,,1.0,,9q56ehz,,8.0,,,F,
863,Amy Irving,1953-09-10,"
 Steven Spielberg ( m.  1985;  div.  1989) 
 Bruno Barreto ( m.  1996;  div.  2005) 
 Kenneth Bowser  ( m.  2007) 
",2,,Actress,"Palo Alto ,  California , U.S.",1946-12-18,"Cincinnati, Ohio , U.S.","Film producer, film director, screenwriter",Amy Irving ( m.  1985;  div.  1989) Kate Capshaw  ( m.  1991),7 (including  Sasha  and  Jessica Capshaw ),6.729775423177752,65.65227212057742,72.38204754375518,"['Steven Spielberg', 'Bruno Barreto', 'Kenneth Bowser']","[1985, 1996, 2007]","[1989, 2005]","['Amy Irving', 'Kate Capshaw']","[1985, 1991]",[1989],2.0,7.0,"['Steven Spielberg', 'Bruno Barreto', 'Kenneth Bowser']",3.0,"['Amy Irving', 'Kate Capshaw']",2.0,1.0,5.0,9q9jh84,dngykys,8.0,11.0,20000000.0,F,1.0
864,Judith Ivey,1951-09-04,Ricardo Gutierrez ( m.  1973;  div.  1978)     Tim Braine ( m.  1989),2 (with Braine),Illinois State University,Actress  &  Theatre director,"El Paso ,  Texas ,  U.S.",,United States,"Actor ,  film director ,  teacher",,,,67.67010958472795,,"['Ricardo Gutierrez', 'Tim Braine']","[1973, 1989]",[1978],,,,2.0,,"['Ricardo Gutierrez', 'Tim Braine']",2.0,,,4.0,6.0,9tsk8y5,9yegjbp,8.0,,5003530.0,F,1.0
865,Janet Jackson,1966-05-16,James DeBarge ( m.  1984; ann. 1985) René Elizondo Jr. ( m.  1991;  div.  2000) Wissam Al Mana ( m.  2012;  sep.  2017),1 (with Al Mana),,"
 Singer 
 songwriter 
 dancer 
 actress 
 record producer 
 film producer 
 businesswoman 
 philanthropist 
 author 
","Gary, Indiana ,  U.S.",1963-08-22,"Detroit, Michigan , U.S.",Singer,Janet Jackson ( m.  1984; ann. 1985),"3, including  Kristinia DeBarge",2.7324311929745306,52.973024771213645,55.705455964188175,"['James DeBarge', 'René Elizondo Jr', 'Wissam Al Mana']","[1984, 1991, 2012]","[1985, 2000, 2017]",['Janet Jackson'],[1984],[1985],1.0,3.0,"['James DeBarge', 'René Elizondo Jr', 'Wissam Al Mana']",3.0,['Janet Jackson'],1.0,11.0,1.0,dp3ust7,dpsby4p,4.0,7.0,625441.0,F,1.0
866,Kate Jackson,1948-10-29,Andrew Stevens ( m.  1978;  div.  1981) David Greenwald ( m.  1982;  div.  1984) Tom Hart ( m.  1991;  div.  1993),1,University of Mississippi (withdrawn) Birmingham Southern College (withdrawn) American Academy of Dramatic Arts,"Actress, producer, director","Birmingham ,  Alabama , U.S.",1955-06-10,"Memphis, Tennessee , U.S.","Executive, film producer, film director, actor",Kate Jackson ( m.  1978;  div.  1982) Robyn Suzanne Scott ( m.  1995;  div.  2010) Diana Stevens ( m.  2016;  div.  2018),3,-6.612045421877246,70.517532871996,63.905487450118756,"['Andrew Stevens', 'David Greenwald', 'Tom Hart']","[1978, 1982, 1991]","[1981, 1984, 1993]","['Kate Jackson', 'Robyn Suzanne Scott', 'Diana Stevens']","[1978, 1995, 2016]","[1982, 2010, 2018]",1.0,3.0,"['Andrew Stevens', 'David Greenwald', 'Tom Hart']",3.0,"['Kate Jackson', 'Robyn Suzanne Scott', 'Diana Stevens']",3.0,3.0,6.0,djfq8tf,9ypzyyu,10.0,5.0,20000000.0,F,1.0
867,Shar Jackson,1976-08-31,Kevin Federline  (2001–2004),4,,"Actress, singer","Boston ,  Massachusetts , U.S.",,,,,,,42.67849442493686,,,,,,,,4.0,,,,,,2.0,,drt2zp2,,8.0,,,F,
868,Sherry Jackson,1942-02-15,Fletcher R. Jones (1967– d.  1972),,,Actress,"Wendell ,  Gooding County   Idaho , USA",,,,,,,77.21992922510387,,,,,,,,,,,,,,1.0,,9rw7mg4,,1.0,,,F,
869,Victoria Jackson,1959-08-02,,,,"Actress, comedian, singer","Miami, Florida",,,,,,,59.76029624153816,,,,,,,,,,,,,,3.0,,dhwfx1y,,7.0,,,F,
870,Allison Janney,1959-11-19,,,Kenyon College (BA),Actress,"Boston ,  Massachusetts , U.S.",,,,,,,59.46186437777641,,,,,,,,,,,,,,1.0,,drt2zp2,,10.0,,,F,
871,Anne Jeffreys,1923-01-26,Joseph R. Serena  (1945-1949; annulled) Robert Sterling   (1951-2006; his death),3,,"Actress, singer","Goldsboro, North Carolina , U.S.",,,,,,,96.27576199374388,,,,,,,,3.0,,,,,,2.0,,dq2931x,,1.0,,,F,
872,Scarlett Johansson,1984-11-22,Ryan Reynolds ( m.  2008;  div.  2011) Romain Dauriac ( m.  2014;  div.  2017),1,,Actress singer,"New York City , U.S.",1976-10-23,"Vancouver ,  British Columbia , Canada","
 Actor 
 comedian 
 film producer 
 screenwriter 
",Scarlett Johansson ( m.  2008;  div.  2011) Blake Lively  ( m.  2012),2,8.082301484630074,34.451083868936394,42.533385353566466,"['Ryan Reynolds', 'Romain Dauriac']","[2008, 2014]","[2011, 2017]","['Scarlett Johansson', 'Blake Lively']","[2008, 2012]",[2011],1.0,2.0,"['Ryan Reynolds', 'Romain Dauriac']",2.0,"['Scarlett Johansson', 'Blake Lively']",2.0,2.0,5.0,dr5regw,c2b2q7d,11.0,10.0,20000000.0,F,1.0
873,Amy Jo Johnson,1970-10-06,Olivier Giner ( m.  2009),1,,"Actress, singer, songwriter, musician, director","Hyannis, Massachusetts , U.S.",,,,,,,48.581421932004076,,['Olivier Giner'],[2009],,,,,1.0,,['Olivier Giner'],1.0,,,5.0,,drqhbw9,,9.0,,,F,0.0
874,Ashley Johnson,1983-08-09,Brian Wayne Foster (engaged 2018),,,"Actress, voice actress, singer","Camarillo, California , U.S.",,,,,,,35.74063806922798,,,,,,,,,,,,,,4.0,,9q56ehz,,7.0,,,F,
875,Dakota Johnson,1989-10-04,,,,"
 Actress 
 model 
","Austin, Texas , U.S.",,,,,,,29.585823117517812,,,,,,,,,,,,,,2.0,,9v6kpvc,,9.0,,,F,
876,Rita Johnson,1913-08-13,Stanley Kahn (1940–43; divorced) Edwin Hutzler (1943–46; divorced),,,Actress,"Worcester, Massachusetts , U.S.",,,,,,,105.7297548888752,,,,,,,,,,,,,,1.0,,drsbqje,,7.0,,,F,
877,Kristen Johnston,1967-09-20,,,,Actress,"Washington, D.C. , U.S.",,,,,,,51.6259745237753,,,,,,,,,,,,,,1.0,,dqcjqfz,,8.0,,,F,
878,Lynn-Holly Johnson,1958-12-13,Kelly Givens (1993–present) 2 children,Kellen Givens Jensie Givens,,"Figure skater, actress","Chicago, Illinois , U.S.",,,,,,,60.39549066715949,,,,,,,,,,,,,,3.0,,dp3wjzt,,11.0,,,F,
879,JoJo,1990-12-20,,,,"
 Singer 
 songwriter 
 actress 
","Brattleboro, Vermont , U.S.",,,,,,,28.375668220428892,,,,,,,,,,,,,,3.0,,drs7ubu,,11.0,,,F,
880,Angelina Jolie,1975-06-04,Jonny Lee Miller ( m.  1996;  div.  2000) Billy Bob Thornton ( m.  2000;  div.  2003) Brad Pitt ( m.  2014;  div.  2019),6,,"
 Actress 
 filmmaker 
","Los Angeles ,  California , U.S.",1972-11-15,"London ,  England",Actor,"British, American [1]",1,2.5489914235063007,43.92150420610964,46.47049562961594,"['Jonny Lee Miller', 'Billy Bob Thornton', 'Brad Pitt']","[1996, 2000, 2014]","[2000, 2003, 2019]",,,,6.0,1.0,"['Jonny Lee Miller', 'Billy Bob Thornton', 'Brad Pitt']",3.0,,,2.0,1.0,9q5ctr1,gcpvj0d,5.0,10.0,20000000.0,F,1.0
881,Anissa Jones,1958-03-11,,,,"Actress, Student","Lafayette, Indiana , U.S.",,,,,,,61.153890908095306,,,,,,,,,,,,,,2.0,,dp4jzje,,2.0,,,F,
882,Carolyn Jones,1930-04-28,"
 Don Donaldson ( m.  1950;  div.  1951) [2] 
 Aaron Spelling ( m.  1953;  div.  1964) 
 Herbert Greene ( m.  1968;  div.  1977) 
 Peter Bailey-Britton ( m.  1982; her death 1983) 
",,Amarillo High School,"Actress, singer","Amarillo, Texas , United States",,,,,,,89.02304633223133,,"['Don Donaldson', '2 Aaron Spelling', 'Herbert Greene', 'Peter Bailey Britton']","[1950, 1953, 1968, 1982]","[1951, 1964, 1977]",,,,,,"['Don Donaldson', '2 Aaron Spelling', 'Herbert Greene', 'Peter Bailey Britton']",4.0,,,2.0,,9wr86gb,,4.0,,,F,1.0
883,Cherry Jones,1956-11-21," ( 1956-11-21 )  November 21, 1956  (age 62) Paris, Tennessee ,  U.S.",,Carnegie Mellon University (BFA),Actress,"Paris, Tennessee ,  U.S.",,,,,,,62.45439673641485,,,,,,,,,,,,,,1.0,,dn3nw0d,,10.0,,,F,
884,Janet Jones,1961-01-10,Wayne Gretzky  ( m.  1988),5,,Actress,"Bridgeton, Missouri , United States",,,,,,,58.31741924885521,,['Wayne Gretzky'],[1988],,,,,5.0,,['Wayne Gretzky'],1.0,,,1.0,,9yzsw9k,,0.0,,,F,0.0
885,January Jones,1978-01-05,,1,Roosevelt High School,"
 Actress 
 model 
","Sioux Falls ,  South Dakota , U.S.",,,,,,,41.33144417749851,,,,,,,,1.0,,,,,,2.0,,9zepwzs,,0.0,,,F,
886,Jasmine Cephas Jones,1989-07-21,Anthony Ramos,,Fiorello H. LaGuardia High School,Actress singer,"New York City ,  New York , U.S.",,,,,,,29.791166143041952,,,,,,,,,,,,,,2.0,,dr5regw,,6.0,,,F,
887,Jennifer Jones,1919-03-02,Robert Walker ( m.  1939;  div.  1945) David O. Selznick ( m.  1949; died 1965) Norton Simon ( m.  1971; died 1993),"3, including  Robert Walker Jr.",,"Actress, singer","Tulsa, Oklahoma , U.S.",1918-10-13,"Salt Lake City, Utah , U.S.",Actor,Jennifer Jones ( m.  1939;  div.  1945) Barbara Ford ( m.  1948;  div.  1948) Hanna Hertelendy  ( m.   1949 ),"2,  Robert Walker Jr.  and Michael Walker, actor, born 1941",0.38330698097839105,100.18001738570949,100.56332436668788,"['Robert Walker', 'David O Selznick', 'Norton Simon']","[1939, 1949, 1971]",[1945],"['Jennifer Jones', 'Barbara Ford', 'Hanna Hertelendy']","[1939, 1948, 1949]","[1945, 1948]",3.0,,"['Robert Walker', 'David O Selznick', 'Norton Simon']",3.0,"['Jennifer Jones', 'Barbara Ford', 'Hanna Hertelendy']",3.0,2.0,1.0,9y7txts,9x0rvu7,2.0,9.0,5003530.0,F,1.0
888,Jill Marie Jones,1975-01-04,,,,Actress,"Dallas, Texas , U.S.",,,,,,,44.33492816416491,,,,,,,,,,,,,,1.0,,9vg4mqf,,0.0,,,F,
889,Marcia Mae Jones,1924-08-01,Robert Chic (2 children) (m.1943–1951) Bill Davenport (m.1955–1963; divorced),,,Actress,"Los Angeles, California",,,,,,,94.76169941887923,,,,,,,,,,,,,,1.0,,9q5ctr1,,7.0,,,F,
890,Rashida Jones,1976-02-25,Ezra Koenig  (2017–present),1,,"Actress, writer, producer","Los Angeles ,  California , U.S.",,,,,,,43.1932209422507,,,,,,,,1.0,,,,,,3.0,,9q5ctr1,,2.0,,,F,
891,Shirley Jones,1934-03-31,"Singer, actress",3; including  Shaun  and  Patrick,,"Singer, actress","Charleroi, Pennsylvania , U.S.",1927-03-05,"Richmond Hill, Queens ,  New York City , U.S.","Actor, singer",Evelyn Ward ( m.  1948;  div.  1956) Shirley Jones ( m.  1956;  div.  1974),"4; including  David ,  Shaun ,  Patrick Cassidy",7.072013799051315,85.09962559121679,92.17163939026811,,,,"['Evelyn Ward', 'Shirley Jones']","[1948, 1956]","[1956, 1974]",3.0,4.0,,,"['Evelyn Ward', 'Shirley Jones']",2.0,2.0,2.0,dpphmfg,dr5x802,3.0,2.0,5003530.0,F,
892,Tamala Jones,1974-11-12,,,,Actress,"Pasadena, California , U.S.",,,,,,,44.48003723553529,,,,,,,,,,,,,,1.0,,9q5fr83,,10.0,,,F,
893,Dorothy Jordan,1906-08-09,Paul J. Barnes (?) Merian C. Cooper  (1933–1973) (his death) 3 children,"Col. Richard M. Cooper Dr. Elizabeth There
sa Henderson Mary Carolyn Cooper [1]",,Actress,"Clarksville, Tennessee , U.S.",,,,,,,112.74153473377277,,,,,,,,1.0,,,,,,1.0,,dn3zu44,,7.0,,,F,
894,Milla Jovovich,1975-12-17,Shawn Andrews ( m.  1992; annulled 1992) Luc Besson ( m.  1997;  div.  1999) Paul W. S. Anderson  ( m.  2009),2,,"
 Actress 
 model 
 musician 
","Kiev ,  Ukrainian SSR ,  Soviet Union",,"Littleton ,  Massachusetts , U.S.",,,,,43.38487443273989,,"['Shawn Andrews', 'Luc Besson', 'Paul W S Anderson']","[1992, 1997, 2009]","[1992, 1999]",,,,2.0,,"['Shawn Andrews', 'Luc Besson', 'Paul W S Anderson']",3.0,,,3.0,,u8vxn84,drt1uxt,11.0,,20000000.0,F,1.0
895,Elaine Joyce,1945-12-19,Bobby Van ( m.  1968; died 1980) John Levoff ( m.  1985;  div.  1992) Neil Simon ( m.  1999; died 2018),2,,Actress,"Kansas City, Missouri , U.S.",1928-12-06,"The Bronx , New York, U.S.","Actor, singer, dancer, game show host",Diane Garrett ( m.  1952;  div.  1962) Elaine Joyce  ( m.  1968),2,17.035257397482493,73.378645694299,90.41390309178149,"['Bobby Van', 'John Levoff', 'Neil Simon']","[1968, 1985, 1999]",[1992],"['Diane Garrett', 'Elaine Joyce']","[1952, 1968]",[1962],2.0,2.0,"['Bobby Van', 'John Levoff', 'Neil Simon']",3.0,"['Diane Garrett', 'Elaine Joyce']",2.0,1.0,6.0,9yuwrvc,dr72r5t,11.0,11.0,20000000.0,F,1.0
896,Ella Joyce,1954-06-12,Dan Martin  ( m.  1992),,Cass Technical High SchoolEastern Michigan University,"Actress , author, acting coach, consultant","Chicago, Illinois , U.S.",1951-12-22,,Actor,Ella Joyce  (m. 1992),,2.4723300273106226,64.89934769365559,67.3716777209662,['Dan Martin'],[1992],,['Ella Joyce'],[1992],,,,['Dan Martin'],1.0,['Ella Joyce'],1.0,6.0,1.0,dp3wjzt,,5.0,0.0,,F,0.0
897,Ashley Judd,1968-04-19,Dario Franchitti ( m.  2001;  div.  2013),,"University of Kentucky (BA)Harvard University (MPA)University of California, Berkeley","
 Actress 
 activist 
","Los Angeles ,  California , U.S.",,,,,,,51.04553823829374,,['Dario Franchitti'],[2001],[2013],,,,,,['Dario Franchitti'],1.0,,,2.0,,9q5ctr1,,3.0,,,F,1.0
898,Victoria Justice,1993-02-19,,,Cleveland High School,"
 Actress 
 singer 
","Hollywood, Florida , U.S.",,,,,,,26.207245870893995,,,,,,,,,,,,,,2.0,,dhx5bph,,2.0,,,F,
899,Jane Kaczmarek,1955-12-21,Bradley Whitford ( m.  1992;  div.  2010),3,"University of Wisconsin, Madison (BA)Yale University (MFA)",Actress,"Milwaukee ,  Wisconsin , U.S.",1959-10-10,"Madison, Wisconsin , U.S.",Actor,Jane Kaczmarek ( m.  1992;  div.  2010),3,-3.802952832707037,63.374333490762986,59.57138065805595,['Bradley Whitford'],[1992],[2010],['Jane Kaczmarek'],[1992],[2010],3.0,3.0,['Bradley Whitford'],1.0,['Jane Kaczmarek'],1.0,1.0,1.0,dp9kzdu,dp8mj9h,11.0,9.0,625441.0,F,1.0
900,Madeline Kahn,1942-09-29,John Hansbury ( m.   1999 ),,,"Actress, singer, comedian, voice over artist","Boston ,  Massachusetts , U.S.",,,,,,,76.60116224152446,,['John Hansbury'],[1999],,,,,,,['John Hansbury'],1.0,,,6.0,,drt2zp2,,9.0,,,F,0.0
901,Bianca Kajlich,1977-03-26,Landon Donovan ( m.  2006;  div.  2010) Michael Catherwood  ( m.  2012),1,,Actress,"Seattle, Washington , U.S.",,,,,,,42.11174767449024,,"['Landon Donovan', 'Michael Catherwood']","[2006, 2012]",[2010],,,,1.0,,"['Landon Donovan', 'Michael Catherwood']",2.0,,,1.0,,c23nb62,,3.0,,,F,1.0
902,Mindy Kaling,1979-06-24,,1,Buckingham Browne & Nichols,"Actress, comedian, writer, producer","Cambridge, Massachusetts , U.S.",,,,,,,39.86666392875966,,,,,,,,1.0,,,,,,4.0,,drt3jcg,,6.0,,,F,
903,Elena Kampouris,1997-09-16,,,,Actress,"New York City ,  New York , U.S.",,,,,,,21.634941169223186,,,,,,,,,,,,,,1.0,,dr5regw,,8.0,,,F,
904,Melina Kanakaredes,1967-04-23,Peter Constantinides ( m.  1992),2,,Actress,"Akron, Ohio , United States",,,,,,,52.03666057482358,,['Peter Constantinides'],[1992],,,,,2.0,,['Peter Constantinides'],1.0,,,1.0,,dpq18yx,,4.0,,,F,0.0
905,Carol Kane,1952-06-18,,,,"Actress, comedian","Cleveland ,  Ohio , U.S.",,,,,,,66.88159236671527,,,,,,,,,,,,,,2.0,,dpmuhfx,,5.0,,,F,
906,Chelsea Kane,1988-09-15,,,,"Actress, singer","Phoenix, Arizona , U.S.",,,,,,,30.6371794082014,,,,,,,,,,,,,,2.0,,9tbq39n,,8.0,,,F,
907,Mitzi Kapture,1962-05-02,,2,,Actress,"Yorba Linda, California , U.S.",,,,,,,57.011437606521696,,,,,,,,2.0,,,,,,1.0,,9qh0z15,,4.0,,,F,
908,Julie Kavner,1950-09-07,David Davis  (1976–present),,,"Actress, voice actress","Los Angeles , California, U.S.",,,,,,,68.6612319212578,,,,,,,,,,,,,,3.0,,9q5ctr1,,8.0,,,F,
909,Lainie Kazan,1940-05-15,Peter H. B. Danielson (1989 died of lung cancer),1,,"Actress, singer","Brooklyn ,  New York , U.S.",,,,,,,78.9749276165835,,,,,,,,1.0,,,,,,2.0,,dr5rmm5,,4.0,,,F,
910,Jane Kean,1923-04-10,Dick Linkroum ( m.  1962–1969) Joe Hecht ( m.  1970–2005),,,"Actress, singer","Hartford, Connecticut , U.S.",,,,,,,96.07315687522673,,"['Dick Linkroum', 'Joe Hecht']","[1962, 1970]",,,,,,,"['Dick Linkroum', 'Joe Hecht']",2.0,,,2.0,,drkmd70,,3.0,,,F,1.0
911,Staci Keanan,1975-06-06,Guy Birtwhistle ( m.  2017),,,Actress (1987–2012) Attorney (2013–present),"Devon, Pennsylvania , US",,,,,,,43.91602839209566,,['Guy Birtwhistle'],[2017],,,,,,,['Guy Birtwhistle'],1.0,,,4.0,,dr47gdu,,5.0,,,F,0.0
912,Diane Keaton,1946-01-05,,2,Santa Ana High School,"
 Actress 
 director 
 producer 
","Los Angeles ,  California , U.S.",,,,,,,73.3321012751802,,,,,,,,2.0,,,,,,3.0,,9q5ctr1,,0.0,,,F,
913,Arielle Kebbel,1985-02-19,,,,"Actress, model, singer","Winter Park, Florida , U.S.",,,,,,,34.20741014531441,,,,,,,,,,,,,,3.0,,djn4tn6,,2.0,,,F,
914,Monica Keena,1979-05-25,,,,Actress,"Brooklyn ,  New York , U.S.",,,,,,,39.948801138969316,,,,,,,,,,,,,,1.0,,dr5rmm5,,5.0,,,F,
915,Catherine Keener,1959-03-23,Dermot Mulroney ( m.  1990;  div.  2007),1,,Actress,"Miami ,  Florida , U.S.",1963-10-31,"Alexandria, Virginia , U.S.",Actor,Catherine Keener ( m.  1990;  div.  2007) Tharita Cesaroni-Catulle ( m.  2008),3,-4.6078974927616585,60.12169996646064,55.51380247369898,['Dermot Mulroney'],[1990],[2007],"['Catherine Keener', 'Tharita Cesaroni Catulle']","[1990, 2008]",[2007],1.0,3.0,['Dermot Mulroney'],1.0,"['Catherine Keener', 'Tharita Cesaroni Catulle']",2.0,1.0,1.0,dhwfx1y,dqchyb0,3.0,10.0,5003530.0,F,1.0
