,name_m,bday_m,spouse_m,child_m,education_m,role_m,birthplace_m,bday_m_sp,birthplace_m_sp,role_m_sp,spouse_m_sp,child_m_sp,age_m_diff,age_m,age_m_spouse
8305,Ron Cephas Jones,1957-01-08,,Jasmine Cephas Jones,,Actor,"Paterson, New Jersey, United States",,,,,,,62.23810208286275,
8306,Sam Jones III,1983-04-29,,,,Actor,"Boston, Massachusetts, U.S.",,,,,,,35.93502946672416,
8307,Sam J. Jones,1954-08-12,Lynn Eriks ( m.  1982;  div.  1987) Ramona Lynn Jones ( m.   1992 ),5,,Actor,"Chicago, Illinois, U.S.",,,,,,,64.64746024901264,
8308,T. C. Jones,1920-10-26,Connie Dickson Jones,,,"Female impersonator, actor","Scranton, Pennsylvania, U.S.",,,,,,,98.44144643627179,
8309,Tilky Montgomery Jones,1981-06-24,,,,"Actor, musician","Charleston, South Carolina, U.S.",,,,,,,37.780378789434415,
8310,Tommy Lee Jones,1946-09-15,"Katherine ""Kate"" Lardner ( m.  1971–1978) Kimberlea Cloughley ( m.  1981–1996) Dawn Laurel ( m.  2001)",2,,"Actor, director, producer, screenwriter","San Saba, Texas, U.S.",,,,,,,72.55453568519545,
8311,Ty Granderson Jones,1964-01-19,,,,"Actor, Screenwriter and Producer","Tampa Bay, Florida, U.S.",,,,,,,55.209894795923255,
8312,Tyler Patrick Jones,1994-03-12,,,,Actor,"California, United States",,,,,,,25.06553864897979,
8313,Walter Emanuel Jones,1970-11-30,,,,"Actor, dancer, martial artist","Detroit, Michigan, U.S.",,,,,,,48.34596192940307,
8314,Jo D. Jonz,,,,,"Actor, director, writer, producer","New York City, New York, U.S.",,,,,,,,
8315,Spike Jonze,1969-10-22,Sofia Coppola ( m.  1999;  div.  2003),,,"Director, producer, screenwriter, actor, photographer","Rockville, Maryland U.S.",1971-05-14,"New York City, New York, U.S.","Screenwriter, director, producer, actress","
 Spike Jonze ( m.  1999;  div.  2003) 
 Thomas Mars  ( m.  2011) 
",2,-1.5578690869764609,49.45207636022643,47.89420727324996
8316,Bobby Jordan,1923-04-01,Lee Jordan ( m.  1946;  div.  1957),,,Actor,"Harrison, New York, U.S.",,,,,,,96.01292292107298,
8317,Jeremy Jordan,1984-11-20,Ashley Spencer  ( m.  2012),,,"Actor, singer, dancer, songwriter","Corpus Christi, Texas, U.S.",1985-03-08,"Canton, Ohio, U.S.[1]","Actress, singer, dancer",Jeremy Jordan  ( m.  2012),,-0.29569395675475885,34.37168456573372,34.07599060897897
8318,Leslie Jordan,1955-04-29,,,,"Actor, playwright","Memphis, Tennessee, United States[1]",,,,,,,63.93560442719563,
8319,Richard Jordan,1937-07-19,Kathleen Widdoes ( m.  1964;  div.  1972),2,,Actor,"New York City, U.S.",1939-03-21,"Wilmington, Delaware, U.S.",Actress,Richard Jordan ( m.  1964;  div.  1972)    Jerry Senter,1,-1.6701232742629897,81.71283462357201,80.04271134930902
8320,Sid Jordan,1889-08-12,,,,Actor,"Muskogee, Oklahoma, United States",,,,,,,129.64537259491982,
8321,Will Jordan,,,,,"Actor, stand-up comedian","Bronx, New York",,,,,,,,
8322,William Jordan,1937-10-13,,,,Actor,"Milan, Indiana",,,,,,,81.477374620971,
8323,Kahlil Joseph,,,,,"Actor in film, stage, television, voice-over; singer; martial artist; dialect coach; teacher","New Delhi, India",,,,,,,,
8324,Allyn Joslyn,1901-07-21,"Dorothy Yockel (m. 1935–1978, her death)",1 daughter,,Actor,"Milford, Pennsylvania, U.S.",,,,,,,117.70809804444993,
8325,Darwin Joston,1937-12-09,"Josephine Cook, Janie Posey Swaim",,,,"Winston-Salem, North Carolina, U.S.",,,,,,,81.32131392157265,
8326,Greg Joujon-Roche,1966-12-07,Irma Joujon-Roche,2,,"Personal trainer, author","California, U.S.",,,,,,,52.326878717564355,
8327,Ernest Joy,1878-01-20,Jessie Busley  (1907–1908) (separated),,,Actor,"Iowa, USA",,,,,,,141.2048159784253,
8328,William Joyce,1930-10-21,,,,Actor,"Bryn Mawr, Pennsylvania",,,,,,,88.4562995817847,
8329,C. Courtney Joyner,,,,,"Author, Director, Journalist",,,,,,,,,
8330,Charles Judels,1882-08-17,,,,Actor,"Amsterdam, Netherlands",,,,,,,136.63251127675449,
8331,Christopher Judge,1964-10-13,Margaret Judge (1995–2011) Gianna Patton ( m.  2011),4,,,"Los Angeles, California, United States",,,,,,,54.47613571805034,
8332,Mike Judge,1962-10-17,,3,St. Pius X High School,"
Animator
cartoonist
actor
voice actor
comedian
screenwriter
musician
composer
filmmaker
former physicist
","Guayaquil, Ecuador",,,,,,,56.466594112130984,
8333,Raúl Juliá,1940-03-09,Magda Vasallo (1965–69)   Merel Poloway (1976–94; his death),2,,,"Floral Park, San Juan, Puerto Rico",,,,,,,79.07349226883508,
8334,Max Julien,1945-01-01,Arabella Chavers ( m.  1991),,,Actor,"Washington, D.C., U.S.",,,,,,,74.2575138435423,
8335,Gordon Jump,1932-04-01,Olinda D. Kandt (1954–1962) Anna F. Inge Jump (1963–1992) Betty McKeever (1993–2003),,,Actor,"Dayton, Ohio, U.S.",,,,,,,87.01068468209478,
8336,Calvin Jung,1945-02-17,,,,Actor,"New York, New York, U.S.",,,,,,,74.12883221421384,
8337,Eric Jungmann,1981-12-02,,,,,"Orlando, Florida, United States",,,,,,,37.33957576130927,
8338,Peter Jurasik,1950-04-25,,,,Actor,"Queens, New York City, New York, United States",,,,,,,68.9459742499846,
8339,Randy Jurgensen,,Lynn,Devon,,Detective,"Harlem, New York City, NY",,,,,,,,
8340,Jet Jurgensmeyer,,,,,Actor,"Nashville, Tennessee",,,,,,,,
8341,Christian Juttner,1964-05-20,,,,Actor,"Los Angeles, California, U.S.",,,,,,,54.875870141070656,
8342,Jeff Kaake,1959-01-10,,,,"Actor, producer","Detroit, Michigan, United States",,,,,,,60.23395415374717,
8343,Roger Kabler,,,,,"Actor, Director",,,,,,,,,
8344,Nicholas Kadi,1952-09-22,,,,,"Istanbul, Turkey",,,,,,,66.53387817682773,
8345,Kato Kaelin,1959-03-09,Cynthia Coulter ( m.  1983;  div.  1989),,,Actormedia personality,"Milwaukee, Wisconsin, US",,,,,,,60.075155547341836,
8346,Michael Kagan,1937-08-16,,,,Actor,"Kent, Washington, United States",,,,,,,81.63617322737633,
8347,Daren Kagasoff,1987-09-16,,,,Actor,"Encino, California, U.S.",,,,,,,31.55164034853556,
8348,David Kagen,1948-09-27,,,,"actor, acting teacher","Somers Point, New Jersey, U.S.A.",,,,,,,70.52027077900298,
8349,Tim Jo,1984-04-20,,,,Actor,"Dallas, Texas, USA",,,,,,,34.95759666522927,
8350,Paul Johansson,1964-01-26,,,,"Actor, film director","Spokane, Washington, United States",,,,,,,55.190729446874336,
8351,Arch Johnson,1922-03-14,Yvonne Saccard	(1957–1966; divorced; 2 children) Eleanor M. Willey (1969–1971; divorced) Joyce Johnson (?–1981; divorced; 3 children) Jean D. Heibeck (1994–1997; his death),,,"Stage, film, and television actor","Minneapolis, Minnesota, U.S.",,,,,,,97.06154130474958,
8352,Arnold Johnson,1921-11-15,Betty Heater Johnson,,,Actor,"Brooklyn, New York, U.S.",,,,,,,97.38735223858122,
8353,Arte Johnson,1929-01-20,Gisela Johnson ( m.  1968),,,Actor,"Benton Harbor, Berrien CountyMichigan, U.S.",,,,,,,90.20582215925036,
8354,Arthur Vaughan Johnson,1876-02-02,"Maude Webb,  Florence Hackett (?)",,,ActorFilm director,"Cincinnati, Ohio",,,,,,,143.17063320944305,
8355,Ben Johnson,1918-06-13,Carol Elaine Jones (1941–1994; her death),,,Actor,"Foraker, Oklahoma, U.S.",,,,,,,100.81247390432384,
8356,Bill Johnson,1951-12-16,,,,Actor,"Austin, Texas",,,,,,,67.3032300457915,
8357,Bob Johnson,1920-05-04,,,,Actor,"Portland, Oregon, U.S.",,,,,,,98.92058016249479,
8358,Brad Johnson,1959-10-24,Laurie Johnson ( m.  1986),10,,Actor,"Tucson, Arizona, U.S.",,,,,,,59.448174842741466,
8359,Brad Johnson,1924-07-23,"Adele Cook Johnson (married 1950-1981, his death)","Sander K. Johnson
Julie Johnson Storozynski",,ActorReal estate developer,"Yuba County, California",,,,,,,94.70146546472549,
8360,Bryan Johnson,1967-12-07,,,,"Comic book writer, podcaster, television personality, actor, screenwriter, film director","Highlands, New Jersey, U.S.",,,,,,,51.327542660013556,
8361,Bryce Johnson,1977-04-18,Dawn Joanne Shand ( m.  2003),,,Actor,"Reno, Nevada, United States",,,,,,,41.96390069611286,
8362,"Charles ""Chubby"" Johnson",1903-08-13,,,,Actor; Journalist,"Terre Haute, Vigo CountyIndiana, U.S.",,,,,,,115.64645406818758,
8363,Clark Johnson,1954-09-10,,,,"Actor, director","Philadelphia, Pennsylvania, United States",,,,,,,64.56806094580998,
8364,Corey Johnson,1961-05-17,Lucy Cohu  (m. 1994; div. 2005),1,,Actor,"New Orleans, Louisiana, U.S.",,,,,,,57.88482994175103,
8365,Don Johnson,1949-12-15,Spouse 1 ( m.  1968;  annulled  1968) Spouse 2 ( m.  1973; annulled 1973) Melanie Griffith ( m.  1976;  div.  1976) ( m.  1989;  div.  1996) Kelley Phleger  ( m.  1999),"5, including Jesse and Dakota Johnson",,"Actor, producer, director, singer, songwriter","Flat Creek, Missouri, U.S.",,,,,,,69.3046400679001,
8366,Dwayne Johnson,1972-05-02,Dany Garcia ( m.  1997;  div.  2007),3,,"Actor, producer, professional wrestler","Hayward, California, U.S.",,,,,,,46.924988192776034,
8367,Hassan Johnson,1972-10-03,,Autumn,,"Actor, model, film producer","Staten Island, New York, United States",,,,,,,46.5033505136998,
8368,Hisonni Johnson,1984-12-19,,,,,"Milwaukee, Wisconsin, U.S.",,,,,,,34.29228526253106,
8369,Jack Johnson,1987-04-07,,,,Actor,"Los Angeles, California, United States",,,,,,,31.9951812836677,
8370,Jake Johnson,1978-05-28,Erin Payne ( m.  2006),2,,"Actor, comedian","Evanston, Illinois, U.S.",,,,,,,40.85504835828251,
8371,Jason Johnson,1974-11-30,,,,"Kickboxer, fitness professional and actor","Janesville, Wisconsin",,,,,,,44.34587979219286,
8372,Jay Armstrong Johnson,1987-09-01,,,,Actor,"Fort Worth, Texas, US",,,,,,,31.59270895364039,
8373,Jef Johnson,,,,,"Clown, drama teacher",United States,,,,,,,,
8374,Jeffrey Johnson,1970-01-28,,,,"Actor, Musician","Southborough, Massachusetts",,,,,,,49.18376147354155,
8375,Jesse Johnson,1982-12-07,,,,"Actor, singer, screenwriter","Los Angeles, California, U.S.",,,,,,,36.32655016872352,
8376,Keith Johnson,1953-02-19,,,,"Stage, film, television actor","Washington, DC",,,,,,,66.12319212577945,
8377,Kenny Johnson,1963-07-13,"
 Actor 
 producer 
 model 
",1,,"
Actor
producer
model
","New Haven, Connecticut, U.S.",,,,,,,55.73009712725107,
8378,Knowl Johnson,1970-09-16,,,,Voice actor/actor,"Greenwich, Connecticut, United States",,,,,,,48.551304954927204,
8379,Lamont Johnson,1922-09-30,,,,"Actor, director","Stockton, California, U.S.",,,,,,,96.51395990335189,
8380,Noble Johnson,1881-04-18,Ruth Thornton (1912–?) Gladys Blackwell,,,,"Marshall, Missouri,  U.S.",,,,,,,137.9631340821509,
8381,Orrin Johnson,,,,,Actor,"Louisville, Kentucky, United States",,,,,,,,
8382,Patrick Johnson,1993-02-19,Taylor Green Johnson,,,Actor,"Orlando, Florida, U.S.",,,,,,,26.12237075367735,
8383,Richard Brandon Johnson,,Ariel Fox (m. 2013),1,,"Actor, TV host, real-estate investor","Bloomington, Minnesota, U.S.",,,,,,,,
8384,Raymond Edward Johnson,,Betty Caine,,,Actor,"Kenosha, Wisconsin",,,,,,,,
8385,Russell Johnson,1924-11-10,Actor,2,,Actor,"Ashley, Pennsylvania, U.S.",,,,,,,94.40029569395675,
8386,Tefft Johnson,1883-09-23,,,,Actor,"Washington, D.C., U.S.",,,,,,,135.5318726599451,
8387,Van Johnson,1916-08-25,Eve Lynn Abbott Wynn ( m.  1947;  div.  1968),Schuyler V. Johnson (b. 1948)Stepsons:Ned Wynn (b. 1941)Tracy Keenan Wynn (b. 1945)[1][2],,"Actor, dancer, singer","Newport, Rhode Island, U.S.",,,,,,,102.61127880791528,
8388,William Johnson,1916-03-22,,,,"
Actor
singer
","Baltimore, Maryland, U.S.",,,,,,,103.0383923010055,
8389,J. J. Johnston,1933-10-24,,,,"Actor, writer, historian","Chicago, Illinois",,,,,,,85.44733978110433,
8390,J. W. Johnston,1876-10-02,,,,Actor,"Kilkee, County Clare,Ireland",,,,,,,142.50532180674483,
8391,Jay Johnston,1968-10-22,,,,"Actor, comedian, writer","Chicago, Illinois, U.S.",,,,,,,50.45141241777723,
8392,John Dennis Johnston,1945-11-10,Karla Pitti Johnston (1981–present),,,Actor,"Lincoln, Nebraska, US",,,,,,,73.4005489503549,
8393,Lorimer Johnston,1858-11-02,,,,"Actor, film director","Maysville, Kentucky, United States",,,,,,,160.42218526047762,
8394,Michael Joiner,,Michelle Joiner,"Dustin Joiner; 19, Jack Joiner; 17, Max Joiner; 14",,"Actor, stand-up comedian, film maker","Gary, Indiana",,,,,,,,
8395,Rusty Joiner,1972-12-11,,,,,"Montgomery, Alabama, U.S.",,,,,,,46.314434930217594,
8396,I. Stanford Jolley,1900-10-24,Emily Mae Jolley,StanSandra,,,"Elizabeth, New Jersey, U.S.",,,,,,,118.44733293633682,
8397,Al Jolson,1886-05-26,Henrietta Keller ( m.  1907;  div.  1919) Alma Osbourne ( m.  1922;  div.  1928) Ruby Keeler ( m.  1928;  div.  1940) Erle Galbraith ( m.  1945),3 (all adopted),,"Actor, comedian, singer","Seredžius, Kovno Governorate, Russian Empire",,,,,,,132.8596754211243,
8398,Joe Jonas,1989-08-15,"Sophie Turner  (2016–present, engaged)",,,"
Singer
songwriter
actor
record producer
","Casa Grande, Arizona, U.S.",,,,,,,29.637843350650595,
8399,Kevin Jonas,1987-11-05,Danielle Deleasa  ( m.  2009),2,,"
Musician
songwriter
singer
actor
director
general contractor
entrepreneur
","Teaneck, New Jersey, U.S.",1986-09-18,"Denville, New Jersey, U.S.","
Television personality
Model
Entrepreneur
Founder of ""Moments Jewelry""
",Kevin Jonas  ( m.  2009),2,1.1307555938862537,31.414744998186137,32.54550059207239
8400,Nick Jonas,1992-09-16,Priyanka Chopra  ( m.  2018),,,Singersongwriteractor,"Dallas, Texas, U.S.",1982-07-18,"Jamshedpur, Bihar (now in Jharkhand), India","
Actress
singer
film producer
model
",Nick Jonas  ( m.  2018),,10.165848716948329,26.54948424676756,36.71533296371589
8401,Frank Jonasson,1878-12-14,,,,Actor,"Salt Lake City, Utah, USA",,,,,,,140.30678248013305,
8402,Wesley Jonathan,1978-10-18,Tamara Mitchell ( m.  2016),1,,Actor,"Los Angeles, California, U.S.",,,,,,,40.463527656283155,
8403,Allan Jones,1907-10-14,Marjorie Buel (1929-1936) (divorced) (1 child) Irene Hervey  (1936-1957) (divorced) (1 child) Mary Florsheim Picking (1958-1964) (divorced) Esther Marie Villavincie (1967-1992) (his death),Jack JonesTed Jones,,"singer, actor","Old Forge, Pennsylvania, U.S.",,,,,,,111.47662169654407,
8404,Angus T. Jones,1993-10-08,,,,Actor,"Austin, Texas, U.S.",,,,,,,25.489914235063004,
8405,Brandon Jones,1988-05-07,,,,"Actor, musician, producer, model, athlete","Greensboro, North Carolina, U.S.",,,,,,,30.91097010890025,
8406,Brandon Scott Jones,1984-06-06,,,,"Actor, writer","Bel Air, Maryland",,,,,,,34.828915035900806,
8407,Buck Jones,1891-12-12,Odille Osborne (1915-1942) (his death) (1 child),Maxine Jones (b. 1918)married Noah Beery Jr (1940–1966),,Actor,"Vincennes, Indiana, U.S.",,,,,,,127.31267582496561,
8408,Caleb Landry Jones,1989-12-07,,,,"
Actor
musician
","Garland, Texas, U.S.",,,,,,,29.325721951853904,
8409,Christopher Jones,1982-02-04,,,,Actor/Dancer,"Myrtle Beach, South Carolina U.S.",,,,,,,37.164349712862006,
8410,Christopher Jones,1941-08-18,Susan Strasberg ( m.  1965;  div.  1968) Carrie Abernathy ( m.  1976;  div.  1983) Paula McKenna  ( m.  1983),7,,Actor,"Jackson, Tennessee, U.S.",1938-05-22,"New York City, U.S.",Actress,Christopher Jones ( m.  1965;  div.  1968),1,3.241681896274393,77.63061527615214,80.87229717242654
8411,CJ Jones,1950-09-29,,,Missouri School for the Deaf,Actor,"St. Louis, Missouri, United States",,,,,,,68.51612284988741,
8412,Dean Jones,1931-01-25,Mae Inez Entwisle ( m.  1954;  div.  1971) Loretta Basham ( m.  1973),3,,"Actor, singer","Decatur, Alabama, U.S.",,,,,,,88.1934605091138,
8413,Dickie Jones,1927-02-25,Betty Jones ( m.  1948; his death 2014),4,Hollywood High School,"Actor, singer","Snyder, Texas, U.S.",,,,,,,92.10866752910738,
8414,Donald Jones,1932-01-24,Adèle Bloemendaal (m. 1963),John Jones,,"Actor, dancer, singer","Harlem, New York, U.S.",,,,,,,87.19686235856999,
8415,Doug Jones,1960-05-24,Laurie Jones ( m.  1984),,,"Actor, contortionist","Indianapolis, Indiana, U.S.",,,,,,,58.86500065025292,
8416,Duane Jones,1937-02-02,"July 22, 1988 (1988-07-22)  (aged 51) Mineola, New York , U.S.",,,"Actor, director, teacher","New York City,  U.S.",,,,,,,82.1700650937391,
8417,Gene Jones,,,,,Actor,United States,,,,,,,,
8418,Gordon Jones,1912-04-05,Lucile Van Winkle (1935–1940) [2],,,Actor,"Alden, Iowa, U.S.",,,,,,,107.00014374011786,
8419,Henry Jones,1912-08-01,Yvonne Bergere (1942; her death) Judy Briggs (1946-61; divorce; 2 children),,,,"New Jersey, U.S.",,,,,,,106.67707071329322,
8420,Ike Jones,1929-12-23,Inger Stevens ( m.  1961; died 1970),,Santa Monica High School,"Film producer, actor","Santa Monica, California, US",1934-10-18,"Stockholm, Sweden",,Anthony Soglio ( m.  1955;  div.  1958) Ike Jones  ( m.  1961),,-4.818716332299774,89.28314749789523,84.46443116559546
8421,James Earl Jones,1931-01-17,"
 Julienne Marie ( m.  1968;  div.  1972) [2] 
 Cecilia Hart ( m.  1982; died 2016) 
 [3]",1[4],,Actor,"Arkabutla, Mississippi, U.S.",1937-03-21,"Toledo, Ohio, U.S.",Actresssinger,Gerald Kean ( m.  1955;  div.  1961) James Earl Jones ( m.  1968;  div.  1972) John Scanlon ( m.  1974; died 2001),,-6.1739803007590845,88.21536376516971,82.04138346441063
8422,Jamison Jones,1969-02-15,,,,Actor,"Rochester, Michigan, U.S.",,,,,,,50.13381520496657,
8423,Jeffrey Jones,1946-09-28,,Julian Coutts[1],"Putney School, London Academy of Music and Dramatic Art",Actor,"Buffalo, New York, U.S.",,,,,,,72.5189428941046,
8424,John Marshall Jones,1962-07-05,,1,,Actor,"Detroit, Michigan, U.S.",,,,,,,56.751336440857784,
8425,L. Q. Jones,1927-08-19,Neta S. Lewis (1950–1973; divorced),,,"Actor, director","Beaumont, Texas, U.S.",,,,,,,91.62953380288438,
8426,Luka Jones,1975-08-18,,,,"Actor, comedian","Evanston, Illinois",,,,,,,43.631286063368854,
8427,Matt Jones,1981-11-01,Kelly Daly ( m.  2012),1,,"Actor, singer, songwriter","Sacramento, California, U.S.",,,,,,,37.42445087852591,
8428,Michael Jones,1987-07-24,Lindsay Jones  ( m.   2014 ),2,,"Actor, YouTube personality","Woodbridge Township, New Jersey, U.S.",1989-09-06,"Southlake, Texas, U.S.","Voice actress, manager of Achievement Hunter",Michael Jones  ( m.   2014 ),2,-2.1218779304160935,31.69948732691294,29.577609396496847
8429,Mickey Jones,1941-06-10,Sandra Joel Davis (m. ?—1976; divorced) Phyllis Jean Starr ( m.  1980; his death 2018),2,,"Actor, musician","Houston, Texas, U.S.",,,,,,,77.81953085963436,
8430,Morgan Jones,1928-06-15,Joan Granville (?-1974) (her death) (1 child) Carole Tetzlaff (1976-2006) (her death),,,Actor,"Wooster, Ohio, U.S.",,,,,,,90.80542379378085,
8431,Neal Jones,1960-01-02,Jamie  (wife),,,Actor,"Wichita, Kansas, United States",,,,,,,59.25652135225227,
8432,Orlando Jones,1968-04-10,Jacqueline Staph (2009–present),1,,"Stand-up comedian, actor, voice artist, comedian","Toulminville, Alabama, U.S.",,,,,,,50.98530428413999,
8433,Preston Jones,1983-08-21,,,,Actor,"Dallas, Texas, U.S.",,,,,,,35.622908067927476,
8434,Richard T. Jones,1972-01-16,Nancy Robinson,3,,Actor,"Kobe, Japan",,,,,,,47.2179442425238,
8435,Robbie Jones,1977-09-25,,,,Actor,"Oxnard, California",,,,,,,41.525835574994694,
8436,Robert Earl Jones,,"
 Ruth Connolly ( m.  1929;  div.  1934) 
 Jumelle Jones ( m.  1938;  div.  1950) 
 Ruth Williams ( m.  1960; died 1981) 
",2; including James Earl Jones,,Actorboxer,"Tate County, Mississippi, U.S.",,,,,,,,
8437,Ron Cephas Jones,1957-01-08,,Jasmine Cephas Jones,,Actor,"Paterson, New Jersey, United States",,,,,,,62.23810208286275,
8438,Sam Jones III,1983-04-29,,,,Actor,"Boston, Massachusetts, U.S.",,,,,,,35.93502946672416,
8439,Sam J. Jones,1954-08-12,Lynn Eriks ( m.  1982;  div.  1987) Ramona Lynn Jones ( m.   1992 ),5,,Actor,"Chicago, Illinois, U.S.",,,,,,,64.64746024901264,
8440,T. C. Jones,1920-10-26,Connie Dickson Jones,,,"Female impersonator, actor","Scranton, Pennsylvania, U.S.",,,,,,,98.44144643627179,
8441,Tilky Montgomery Jones,1981-06-24,,,,"Actor, musician","Charleston, South Carolina, U.S.",,,,,,,37.780378789434415,
8442,Tommy Lee Jones,1946-09-15,"Katherine ""Kate"" Lardner ( m.  1971–1978) Kimberlea Cloughley ( m.  1981–1996) Dawn Laurel ( m.  2001)",2,,"Actor, director, producer, screenwriter","San Saba, Texas, U.S.",,,,,,,72.55453568519545,
8443,Ty Granderson Jones,1964-01-19,,,,"Actor, Screenwriter and Producer","Tampa Bay, Florida, U.S.",,,,,,,55.209894795923255,
8444,Tyler Patrick Jones,1994-03-12,,,,Actor,"California, United States",,,,,,,25.06553864897979,
8445,Walter Emanuel Jones,1970-11-30,,,,"Actor, dancer, martial artist","Detroit, Michigan, U.S.",,,,,,,48.34596192940307,
8446,Jo D. Jonz,,,,,"Actor, director, writer, producer","New York City, New York, U.S.",,,,,,,,
8447,Spike Jonze,1969-10-22,Sofia Coppola ( m.  1999;  div.  2003),,,"Director, producer, screenwriter, actor, photographer","Rockville, Maryland U.S.",1971-05-14,"New York City, New York, U.S.","Screenwriter, director, producer, actress","
 Spike Jonze ( m.  1999;  div.  2003) 
 Thomas Mars  ( m.  2011) 
",2,-1.5578690869764609,49.45207636022643,47.89420727324996
8448,Bobby Jordan,1923-04-01,Lee Jordan ( m.  1946;  div.  1957),,,Actor,"Harrison, New York, U.S.",,,,,,,96.01292292107298,
8449,Jeremy Jordan,1984-11-20,Ashley Spencer  ( m.  2012),,,"Actor, singer, dancer, songwriter","Corpus Christi, Texas, U.S.",1985-03-08,"Canton, Ohio, U.S.[1]","Actress, singer, dancer",Jeremy Jordan  ( m.  2012),,-0.29569395675475885,34.37168456573372,34.07599060897897
8450,Leslie Jordan,1955-04-29,,,,"Actor, playwright","Memphis, Tennessee, United States[1]",,,,,,,63.93560442719563,
8451,Richard Jordan,1937-07-19,Kathleen Widdoes ( m.  1964;  div.  1972),2,,Actor,"New York City, U.S.",1939-03-21,"Wilmington, Delaware, U.S.",Actress,Richard Jordan ( m.  1964;  div.  1972)    Jerry Senter,1,-1.6701232742629897,81.71283462357201,80.04271134930902
8452,Sid Jordan,1889-08-12,,,,Actor,"Muskogee, Oklahoma, United States",,,,,,,129.64537259491982,
8453,Will Jordan,,,,,"Actor, stand-up comedian","Bronx, New York",,,,,,,,
8454,William Jordan,1937-10-13,,,,Actor,"Milan, Indiana",,,,,,,81.477374620971,
8455,Kahlil Joseph,,,,,"Actor in film, stage, television, voice-over; singer; martial artist; dialect coach; teacher","New Delhi, India",,,,,,,,
8456,Allyn Joslyn,1901-07-21,"Dorothy Yockel (m. 1935–1978, her death)",1 daughter,,Actor,"Milford, Pennsylvania, U.S.",,,,,,,117.70809804444993,
8457,Darwin Joston,1937-12-09,"Josephine Cook, Janie Posey Swaim",,,,"Winston-Salem, North Carolina, U.S.",,,,,,,81.32131392157265,
8458,Greg Joujon-Roche,1966-12-07,Irma Joujon-Roche,2,,"Personal trainer, author","California, U.S.",,,,,,,52.326878717564355,
8459,Ernest Joy,1878-01-20,Jessie Busley  (1907–1908) (separated),,,Actor,"Iowa, USA",,,,,,,141.2048159784253,
8460,William Joyce,1930-10-21,,,,Actor,"Bryn Mawr, Pennsylvania",,,,,,,88.4562995817847,
8461,C. Courtney Joyner,,,,,"Author, Director, Journalist",,,,,,,,,
8462,Charles Judels,1882-08-17,,,,Actor,"Amsterdam, Netherlands",,,,,,,136.63251127675449,
8463,Christopher Judge,1964-10-13,Margaret Judge (1995–2011) Gianna Patton ( m.  2011),4,,,"Los Angeles, California, United States",,,,,,,54.47613571805034,
8464,Mike Judge,1962-10-17,,3,St. Pius X High School,"
Animator
cartoonist
actor
voice actor
comedian
screenwriter
musician
composer
filmmaker
former physicist
","Guayaquil, Ecuador",,,,,,,56.466594112130984,
8465,Raúl Juliá,1940-03-09,Magda Vasallo (1965–69)   Merel Poloway (1976–94; his death),2,,,"Floral Park, San Juan, Puerto Rico",,,,,,,79.07349226883508,
8466,Max Julien,1945-01-01,Arabella Chavers ( m.  1991),,,Actor,"Washington, D.C., U.S.",,,,,,,74.2575138435423,
8467,Gordon Jump,1932-04-01,Olinda D. Kandt (1954–1962) Anna F. Inge Jump (1963–1992) Betty McKeever (1993–2003),,,Actor,"Dayton, Ohio, U.S.",,,,,,,87.01068468209478,
8468,Calvin Jung,1945-02-17,,,,Actor,"New York, New York, U.S.",,,,,,,74.12883221421384,
8469,Eric Jungmann,1981-12-02,,,,,"Orlando, Florida, United States",,,,,,,37.33957576130927,
8470,Peter Jurasik,1950-04-25,,,,Actor,"Queens, New York City, New York, United States",,,,,,,68.9459742499846,
8471,Randy Jurgensen,,Lynn,Devon,,Detective,"Harlem, New York City, NY",,,,,,,,
8472,Jet Jurgensmeyer,,,,,Actor,"Nashville, Tennessee",,,,,,,,
8473,Christian Juttner,1964-05-20,,,,Actor,"Los Angeles, California, U.S.",,,,,,,54.875870141070656,
8474,Jeff Kaake,1959-01-10,,,,"Actor, producer","Detroit, Michigan, United States",,,,,,,60.23395415374717,
8475,Roger Kabler,,,,,"Actor, Director",,,,,,,,,
8476,Nicholas Kadi,1952-09-22,,,,,"Istanbul, Turkey",,,,,,,66.53387817682773,
8477,Kato Kaelin,1959-03-09,Cynthia Coulter ( m.  1983;  div.  1989),,,Actormedia personality,"Milwaukee, Wisconsin, US",,,,,,,60.075155547341836,
8478,Michael Kagan,1937-08-16,,,,Actor,"Kent, Washington, United States",,,,,,,81.63617322737633,
8479,Daren Kagasoff,1987-09-16,,,,Actor,"Encino, California, U.S.",,,,,,,31.55164034853556,
8480,David Kagen,1948-09-27,,,,"actor, acting teacher","Somers Point, New Jersey, U.S.A.",,,,,,,70.52027077900298,
8481,Rodney Kageyama,1941-11-01,Ken White [2],,,Actor,"San Mateo, California, US[1]",,,,,,,77.42527225062801,
8482,"Kim Kahana, Sr.",,Sandy Kahana  ( m.  2005),4,,Stunt performerActorMartial arts instructor,,,,,,,,,
8483,Jeff Kahn,,Annabelle Gurwitch  (1996–present),1,,"Actor, screenwriter, writer","Mobile, AL",,,,,,,,
8484,Khalil Kain,,,Luka[1]Noe Jae[2],New York University,"Actor, rapper","New York, New York, United States",,,,,,,,
8485,Jaiden Kaine,,,,,"Actor, Model","New York City, United States",,,,,,,,
